,Issuer Name,trend,daysSinceCutOver,trendnature,singleCandlePattern,RSI,Close,Signal
0,ABB,-1,3,Contracting,,28.34154351395729,894.95,-1
1,AMARAJABAT,1,71,Contracting,,56.064356435643525,709.2,-1
2,HDFC,1,44,Contracting,,44.12108337758897,1781.95,-1
3,ANSALAPI,,,,,,0.0,0
4,ASIANHOTNR,-1,5,Contracting,,35.86626139817628,54.15,-1
5,ATUL,1,20,Expanding,,82.97657512116317,5053.95,-1
6,AUTOLITIND,1,6,Expanding,,60.550458715596314,18.9,0
7,BAJAJHIND,-1,15,Contracting,,24.242424242424207,5.6,-1
8,BAJFINANCE,1,43,Contracting,,48.421004314697505,3251.3,-1
9,BALRAMCHIN,-1,1,Contracting,,49.47916666666667,125.5,-1
10,BANCOINDIA,-1,1,Contracting,,41.75824175824175,79.0,-1
11,CENTURYTEX,-1,6,Contracting,,42.00151630022749,307.95,-1
12,BASF,1,48,Contracting,,60.84367874334939,1332.85,-1
13,BATAINDIA,-1,32,Contracting,,40.37771934018641,1268.05,-1
14,BANARISUG,1,44,Expanding,,78.37694248904238,1276.0,0
15,BEL,1,45,Contracting,,35.55926544240401,95.85,-1
16,BEML,1,57,Contracting,,47.513043478260876,640.6,-1
17,BEPL,-1,3,Contracting,,34.050179211469526,42.9,-1
18,BLUESTARCO,-1,25,Expanding,,45.50430023455825,486.4,-1
19,BPL,,,,,,0.0,0
20,CENTEXT,-1,12,Contracting,,30.6122448979592,4.0,-1
21,CESC,-1,10,Contracting,,23.418756815703375,549.55,-1
22,CHAMBLFERT,1,75,Contracting,,53.30634278002701,158.25,-1
23,EXIDEIND,1,1,Contracting,,48.63813229571981,155.65,-1
24,CIPLA,1,81,Expanding,,61.89443239334782,720.15,0
25,DICIND,1,47,Contracting,,53.38716913414088,342.05,-1
26,CRISIL,1,42,Contracting,,42.132587859424945,1673.8,-1
27,DABUR,1,26,Expanding,,52.47761194029849,513.55,0
28,DALMIASUG,1,49,Expanding,,70.08547008547009,123.85,0
29,ARVIND,-1,12,Contracting,,31.46551724137933,28.7,-1
30,BALLARPUR,,,,,,0.0,0
31,BHEL,-1,1,Contracting,,31.89368770764119,35.95,-1
32,HINDPETRO,1,10,Contracting,,60.559626915389735,215.0,-1
33,IFCI,-1,12,Contracting,,23.404255319148916,6.2,-1
34,MTNL,-1,5,Contracting,,15.662650602409641,9.25,-1
35,MRPL,1,9,Expanding,,43.778801843317964,36.4,1
36,CHENNPETRO,1,41,Contracting,,51.68539325842695,79.7,-1
37,RELCAPITAL,,,,,,0.0,0
38,SAIL,1,49,Contracting,,45.93495934959347,34.0,-1
39,TITAN,1,45,Expanding,,65.46303119626626,1043.25,0
40,IDBI,-1,8,Contracting,,24.13793103448276,38.7,-1
41,DCW,-1,14,Contracting,,28.76712328767124,10.85,-1
42,DHAMPURSUG,-1,2,Contracting,,44.0460947503201,126.4,-1
43,DRREDDY,1,12,Expanding,,72.12397128348806,4521.05,0
44,EIDPARRY,1,68,Contracting,,59.823284823284816,290.5,-1
45,ELECTCAST,-1,2,Contracting,,24.56140350877193,14.25,-1
46,SBIN,1,41,Contracting,,44.063545150501675,191.45,-1
47,ESABINDIA,1,1,Expanding,,22.34894443096337,1392.05,1
48,UFLEX,1,74,Contracting,,61.91966614501826,265.5,-1
49,FOSECOIND,-1,2,Contracting,,43.62773029439701,1043.75,-1
50,GARDENSILK,,,,,,0.0,0
51,GTL,,,,,,0.0,0
52,GODREJIND,-1,14,Contracting,,23.183828174352513,354.5,-1
53,KANSAINER,-1,2,Contracting,,42.97917778964229,433.55,-1
54,GHCL,-1,3,Contracting,,22.60397830018084,138.3,-1
55,HCL-INSYS,,,,,,0.0,0
56,HDFCBANK,-1,1,Contracting,,42.761007498558044,1032.8,-1
57,HEROMOTOCO,1,71,Contracting,,53.318903318903324,2676.5,-1
58,HFCL,-1,12,Contracting,,27.619047619047606,12.5,-1
